rsvp_id,event_id,entity_id,attendee_email,event_name,event_type,event_date,venue,rsvp_status,registered_at
RSVP_000001,EVT_0001,E100072,aarav.bansal@iitg.ac.in,Conference - ago trado,Conference,2026-02-17T12:13:30.365Z,LIB_L3,confirmed,2025-09-24T02:58:44.829Z
RSVP_000002,EVT_0001,E100603,advik.kapoor@iitg.ac.in,Cultural Event - texo adipiscor,Cultural Event,2026-04-21T21:20:44.036Z,LAB_102,confirmed,2025-09-20T06:15:26.795Z
RSVP_000003,EVT_0001,E100146,vihaan.yadav@iitg.ac.in,Technical Workshop - repellat sui,Technical Workshop,2026-01-31T00:03:39.797Z,CC_LAB2,pending,2025-10-15T11:53:36.777Z
RSVP_000004,EVT_0001,E100908,shaurya.patel@iitg.ac.in,Guest Lecture - arca correptius,Guest Lecture,2026-03-13T04:45:51.774Z,CC_LAB1,confirmed,2025-09-24T18:29:38.472Z
RSVP_000005,EVT_0001,E100697,shaurya.jain@iitg.ac.in,Career Fair - abundans repudiandae,Career Fair,2026-03-09T06:26:40.349Z,ADMIN_OFFICE,confirmed,2025-10-05T14:26:56.219Z
RSVP_000006,EVT_0001,E100306,aditya.malhotra@iitg.ac.in,Research Presentation - ea ulterius,Research Presentation,2026-03-19T05:05:39.985Z,LAB_301,confirmed,2025-10-17T21:21:35.246Z
RSVP_000007,EVT_0001,E100904,ishaan.bansal@iitg.ac.in,Guest Lecture - alias charisma,Guest Lecture,2026-01-14T15:39:10.416Z,LAB_102,pending,2025-10-18T07:34:22.683Z
RSVP_000008,EVT_0001,E100531,ayaan.singh@iitg.ac.in,Technical Workshop - ademptio solio,Technical Workshop,2026-01-21T09:47:47.948Z,GYM_INDOOR,pending,2025-10-14T16:43:55.926Z
RSVP_000009,EVT_0001,E100997,vihaan.malhotra@iitg.ac.in,Cultural Event - supellex vitium,Cultural Event,2025-12-14T07:21:15.083Z,HOSTEL_B,confirmed,2025-09-30T07:04:54.512Z
RSVP_000010,EVT_0001,E100553,nisha.malhotra@iitg.ac.in,Career Fair - sponte ascit,Career Fair,2026-02-17T03:09:50.271Z,AUD_MAIN,confirmed,2025-09-27T08:28:24.564Z
RSVP_000011,EVT_0002,E100826,vihaan.sharma@iitg.ac.in,Conference - vos terror,Conference,2026-01-04T02:18:42.339Z,CC_LAB2,confirmed,2025-10-15T00:10:08.172Z
RSVP_000012,EVT_0002,E100043,myra.saxena@iitg.ac.in,Conference - error peccatus,Conference,2025-10-29T19:50:16.498Z,LIB_ENT,pending,2025-09-24T20:26:57.942Z
RSVP_000013,EVT_0002,E100498,arjun.kapoor@iitg.ac.in,Festival Celebration - balbus coadunatio,Festival Celebration,2026-03-25T15:00:22.107Z,AC_301,pending,2025-10-24T23:22:01.400Z
RSVP_000014,EVT_0002,E100570,saanvi.rao@iitg.ac.in,Sports Tournament - decens causa,Sports Tournament,2026-01-05T20:52:50.427Z,AC_201,confirmed,2025-09-29T20:36:13.114Z
RSVP_000015,EVT_0002,E100745,reyansh.gupta@iitg.ac.in,Guest Lecture - talus assentator,Guest Lecture,2026-01-01T13:46:01.021Z,CAF_MAIN,confirmed,2025-09-28T04:20:39.242Z
RSVP_000016,EVT_0002,E100545,vivaan.tiwari@iitg.ac.in,Research Presentation - corona ultio,Research Presentation,2025-11-09T21:52:11.909Z,AC_201,confirmed,2025-09-24T00:52:15.600Z
RSVP_000017,EVT_0002,E100897,ishaan.chopra@iitg.ac.in,Technical Workshop - utrum theca,Technical Workshop,2025-11-09T08:23:18.226Z,CC_LAB2,confirmed,2025-10-02T22:28:02.338Z
RSVP_000018,EVT_0002,E100755,tara.yadav@iitg.ac.in,Conference - tametsi velociter,Conference,2025-12-12T13:52:05.021Z,AC_301,declined,2025-10-11T18:26:41.595Z
RSVP_000019,EVT_0002,E100799,aarav.agarwal@iitg.ac.in,Guest Lecture - cunae debitis,Guest Lecture,2026-03-04T15:05:31.761Z,ADMIN_OFFICE,confirmed,2025-10-06T22:18:59.355Z
RSVP_000020,EVT_0002,E100071,ayaan.mishra@iitg.ac.in,Alumni Meet - exercitationem expedita,Alumni Meet,2025-11-12T02:42:50.700Z,LIB_ENT,confirmed,2025-10-10T02:23:31.504Z
RSVP_000021,EVT_0003,E100338,diya.verma@iitg.ac.in,Conference - officia amoveo,Conference,2026-02-27T16:18:26.822Z,ADMIN_LOBBY,confirmed,2025-10-11T09:19:11.545Z
RSVP_000022,EVT_0003,E100416,krishna.arora@iitg.ac.in,Alumni Meet - desolo ocer,Alumni Meet,2025-10-28T14:47:34.859Z,LIB_L1,confirmed,2025-09-22T11:58:29.686Z
RSVP_000023,EVT_0003,E100727,neha.chopra@iitg.ac.in,Conference - turba assentator,Conference,2026-01-21T20:37:46.134Z,CC_LAB1,confirmed,2025-10-15T00:01:56.364Z
RSVP_000024,EVT_0003,E100935,pari.joshi@iitg.ac.in,Guest Lecture - vociferor eos,Guest Lecture,2026-04-12T20:34:55.364Z,GYM_MAIN,declined,2025-09-23T19:45:11.697Z
RSVP_000025,EVT_0003,E100157,neha.rao@iitg.ac.in,Career Fair - baiulus blandior,Career Fair,2026-02-25T08:40:27.263Z,ADMIN_OFFICE,confirmed,2025-10-21T06:55:22.694Z
RSVP_000026,EVT_0003,E100440,myra.kapoor@iitg.ac.in,Career Fair - corpus utor,Career Fair,2026-02-17T01:43:49.071Z,HOSTEL_A,confirmed,2025-10-06T01:08:49.916Z
RSVP_000027,EVT_0003,E100279,shaurya.patel@iitg.ac.in,Alumni Meet - conturbo aedificium,Alumni Meet,2026-01-19T14:04:25.529Z,AC_102,confirmed,2025-10-19T07:36:06.605Z
RSVP_000028,EVT_0003,E100116,ishaan.patel@iitg.ac.in,Sports Tournament - benigne sol,Sports Tournament,2025-12-13T22:48:26.692Z,AC_201,confirmed,2025-10-13T14:39:39.370Z
RSVP_000029,EVT_0003,E100544,ayaan.kapoor@iitg.ac.in,Festival Celebration - debilito ex,Festival Celebration,2026-03-12T00:51:15.921Z,AUD_SEMINAR,pending,2025-09-23T06:58:31.042Z
